id,age,suicides_no,population
20916,15-24 years,434.0,9143500.0
20917,25-34 years,698.0,7761900.0
20918,35-54 years,2184.0,18325800.0
20919,5-14 years,17.0,7764300.0
20920,55-74 years,2607.0,12588300.0
20921,75+ years,1814.0,3736000.0
20922,15-24 years,875.0,9545600.0
20923,25-34 years,1462.0,7927600.0
20924,35-54 years,4822.0,18296000.0
20925,5-14 years,30.0,8168200.0
20926,55-74 years,3654.0,10761800.0
20927,75+ years,1405.0,2232400.0
20928,15-24 years,442.0,9337000.0
20929,25-34 years,637.0,7665000.0
20930,35-54 years,2039.0,18245000.0
20931,5-14 years,14.0,7536000.0
20932,55-74 years,2561.0,12912000.0
20933,75+ years,1687.0,3912000.0
20934,15-24 years,891.0,9770000.0
20935,25-34 years,1419.0,7830000.0
20936,35-54 years,4935.0,18230000.0
20937,5-14 years,22.0,7928000.0
20938,55-74 years,3779.0,11126000.0
20939,75+ years,1354.0,2311000.0
20940,15-24 years,440.0,9292000.0
20941,25-34 years,633.0,7810000.0
20942,35-54 years,1998.0,18131000.0
20943,5-14 years,32.0,7341000.0
20944,55-74 years,2555.0,13232000.0
20945,75+ years,1702.0,4072000.0
20946,15-24 years,996.0,9743000.0
20947,25-34 years,1501.0,7985000.0
20948,35-54 years,5269.0,18135000.0
20949,5-14 years,52.0,7720000.0
20950,55-74 years,4155.0,11475000.0
20951,75+ years,1423.0,2375000.0
20952,15-24 years,404.0,9233000.0
20953,25-34 years,598.0,7933000.0
20954,35-54 years,1955.0,18064000.0
20955,5-14 years,18.0,7142000.0
20956,55-74 years,2418.0,13512000.0
20957,75+ years,1566.0,4227000.0
20958,15-24 years,974.0,9691000.0
20959,25-34 years,1473.0,8120000.0
20960,35-54 years,5472.0,18083000.0
20961,5-14 years,32.0,7513000.0
20962,55-74 years,4185.0,11787000.0
20963,75+ years,1258.0,2430000.0
20964,15-24 years,463.0,9111000.0
20965,25-34 years,670.0,8050000.0
20966,35-54 years,1846.0,18077000.0
20967,5-14 years,21.0,6960000.0
20968,55-74 years,2314.0,13742000.0
20969,75+ years,1538.0,4368000.0
20970,15-24 years,1147.0,9582000.0
20971,25-34 years,1631.0,8250000.0
20972,35-54 years,5439.0,18084000.0
20973,5-14 years,55.0,7318000.0
20974,55-74 years,4256.0,12046000.0
20975,75+ years,1364.0,2476000.0
20976,15-24 years,488.0,8925300.0
20977,25-34 years,667.0,8178700.0
20978,35-54 years,1984.0,17984000.0
20979,5-14 years,23.0,6792300.0
20980,55-74 years,2426.0,14003800.0
20981,75+ years,1582.0,4592800.0
20982,15-24 years,1050.0,9332000.0
20983,25-34 years,1692.0,8404400.0
20984,35-54 years,5507.0,18054500.0
20985,5-14 years,43.0,7125500.0
20986,55-74 years,4429.0,12402300.0
20987,75+ years,1358.0,2553900.0
20988,15-24 years,474.0,8725000.0
20989,25-34 years,698.0,8370000.0
20990,35-54 years,1944.0,17810000.0
20991,5-14 years,23.0,6643000.0
20992,55-74 years,2513.0,14347000.0
20993,75+ years,1614.0,4812000.0
20994,15-24 years,1036.0,9147000.0
20995,25-34 years,1690.0,8610000.0
20996,35-54 years,5725.0,17896000.0
20997,5-14 years,41.0,6972000.0
20998,55-74 years,4870.0,12820000.0
20999,75+ years,1339.0,2633000.0
21000,15-24 years,468.0,8489000.0
21001,25-34 years,798.0,8575000.0
21002,35-54 years,2045.0,17605000.0
21003,5-14 years,19.0,6494000.0
21004,55-74 years,2570.0,14670000.0
